produtos,vencimento
ÁLCOOL IODADO (POLVIDINE TÓPICO),01/07/2025
ETER ALCOLIZADO 35%,01/08/2025
ÁGUA P/ INJEÇÃO,01/10/2025
CREME PREVENTIVO,01/11/2025
ETER 1LT,01/12/2025
BATERIA CR 2450,01/01/2026
FITA CREPE ZEBRADA P/ AUTOCLAVE,01/01/2026
gel condutor 1kg,01/01/2026
SONDA URETRALN°18,01/01/2026
FIXADOR CELULAR,01/02/2026
SULFADIAZINA DE PRATA,01/02/2026
IODOPOLVIDINA DEGERMANTE 1L,01/03/2026
MARCA TEXTO,01/03/2026
TUBO ENDOTRAQUEAL N°9,01/03/2026
ADESIVO P/ FIXAÇÃO  DE DISPOSITIVOS INTRAVENOSOS,01/04/2026
CATEGUTE SIMPLES 5,01/04/2026
ELETRODO C/50,01/04/2026
SERINGA 3 ML,01/04/2026
LUVA  ESTÉREO N°8,01/05/2026
NASOGASTRICA LONGA N°18,01/05/2026
"ESPARADRAPOS 5CMX4,5",01/07/2026
ÓLEO CICATRIZANTE  200ml (GIRASSOL),01/07/2026
SOLIÇÃO FISIOLÓGICA  ARBORETO 0.9%,01/07/2026
SONDA NASOGASTRICA CURTA N°20,01/07/2026
"SONDA ENDOTRAQUEAL C/ BALÃO N°8,5",29/07/2026
FITA CREPE HOSPITALAR 19/50,01/09/2026
LUVA  ESTÉREO N°7,01/09/2026
ÁLCOOL 99% HOSPITALAR,01/10/2026
"ESPARADRAPOS 10CMX4,5",01/10/2026
TUBO SANGUE VÁCUO  4ML 13x75 C 1000 UND,01/10/2026
 CLOREXIDINA degermante 2%,01/11/2026
CATEGUTE SIMPLES 4,01/11/2026
SONDA DE FOLEY N°16,01/11/2026
SONDA URETRAL N°16 (SONDA P.V.C. ATÓXICO SILICONIZADO),01/11/2026
termômetro caixa de vacina,01/11/2026
FIO AGULHA NYLON N°5/20 ,01/12/2026
SONDA DE FOLEY N°20,01/12/2026
SONDA DE FOLEY N°12,01/01/2027
SONDAS NASOGASTRIGAS NUMEROS VARIADOS,01/01/2027
TUBO ENDOTRAQUEAL N°4,01/01/2027
LUVA  ESTÉREO N°6,01/02/2027
MARCA TEXTO VERDE,01/02/2027
BORRACHA,01/03/2027
ÁGUA OXIGENADA ,01/07/2027
FITA CIRÚRGICA MICROPOROSA 05CM,01/07/2027
SONDA DE FOLEY N°18,01/07/2027
"TUBO ENDOTRAQUEAL N°8,5",01/07/2027
VASELINA LÍQUIDA 1L,01/07/2027
SONDA ENDOTRAQUEAL C/ BALÃO N°5,04/07/2027
BOBINA P/ ESTERILIZAÇÃO  300X100,01/08/2027
CATEGUTE CROMADO 2,01/08/2027
" digluconato de clorexidina 0,5%",01/09/2027
AGULHA HIPODÉRMICA 20X55 C/100,01/10/2027
SONDA DE FOLEY N°10,01/10/2027
"LUVA  ESTÉREO N°8,5",01/12/2027
FIO AGULHA NYLON TAMANHOS VARIADOS,01/01/2028
LUVA G,01/01/2028
LUVA PP,01/01/2028
AGULHA HIPODÉRMICA 13x45 C/100,01/03/2028
CATEGUTE SIMPLES 2,01/03/2028
CATETER INTRAVENOSO 18,01/03/2028
LUVA P,01/03/2028
TUBO ENDOTRAQUEAL N°7,01/03/2028
TUBO ENDOTRAQUEAL N°8,01/03/2028
CATETER PERIFÉRICO 18 G,01/04/2028
FIO AGULHA NYLON N°0/20 ,01/05/2028
TUBO ENDOTRAQUEAL N°6,01/05/2028
TUBO ENDOTRAQUEAL N°3,01/06/2028
"TUBO ENDOTRAQUEAL N°5,5",01/06/2028
FIO AGULHA NYLON N°1/30 ,01/07/2028
"TUBO ENDOTRAQUEAL N°3,5",01/07/2028
"TUBO ENDOTRAQUEAL N°4,5",01/07/2028
"AGULHA  HIPODÉRMICA25x0,6 C/100",01/08/2028
CATEGUTE CROMADO 3,01/08/2028
CATETER INTRAVENOSO 16,01/08/2028
"SONDA ENDOTRAQUEAL C/ BALÃO N° 8,0",29/09/2028
BATERIA CR 2032 ( GLICOSIMêTRO ),01/11/2028
BOBINA P/ ESTERILIZAÇÃO 20X100,01/11/2028
BOBINA P/ ESTERILIZAÇÃO 50X100,01/11/2028
BATERIA LR 1154,01/12/2028
SONDA ENDOTRAQUEAL C/ BALÃO N°7,09/12/2028
"SONDA ENDOTRAQUEAL C/ BALÃO N°7,5",09/12/2028
CATETER INTRAVENOSO N°20,01/01/2029
ATADURA CREPE 15cm,01/02/2029
ATADURA CREPE 20cm,01/02/2029
LENÇOL DE PAPEL,09/02/2029
ABAIXADORES P/LÍNGUA,01/03/2029
AGULHA  HIPODÉRMICA25X8 C/100,01/03/2029
ALGODÃO HIDROFILO,01/03/2029
AGULHA  HIPODÉRMICA40X12 C/100,01/04/2029
CATETER PÉRIFERICO 14 G,01/07/2029
CATETER PERIFÉRICO 16 G,01/07/2029
CATETER INTRAVENOSO SIMPLES 24G,01/01/2030
